epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,125.738,0.87066,0.71776,1,0.68746,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,250.044,0.66451,0.74453,1,0.65651,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741
3,372.277,0.74179,0.68613,1,0.87139,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482
4,504.124,0.84756,0.71533,1,0.66868,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,639.516,0.92533,0.6691,1,0.76209,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,132.355,0.83235,0.72019,1,0.64846,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,256.755,0.77883,0.78346,1,0.54896,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,379.198,0.76248,0.73236,1,1.06813,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,509.647,0.67535,0.76642,1,0.52216,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,644.947,0.65541,0.80049,1,0.46698,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,781.898,0.61686,0.80049,1,0.49341,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,916.537,0.6944,0.81752,1,0.48315,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1050.58,0.59268,0.81265,1,0.4513,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1184.29,0.60202,0.81509,1,0.45057,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1319.19,0.58951,0.81752,1,0.47555,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1452.66,0.5964,0.82968,1,0.43301,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1586.33,0.54961,0.82968,1,0.43241,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1724.49,0.57689,0.83698,1,0.4117,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1858.11,0.52462,0.80292,1,0.47211,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1992.41,0.51489,0.84428,1,0.41664,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2126.61,0.50228,0.84185,1,0.41471,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2277.99,0.53317,0.84185,1,0.408,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2428.66,0.53845,0.87348,1,0.37758,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2564.03,0.52107,0.86375,1,0.40301,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2707.55,0.54413,0.85158,1,0.39201,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2841.05,0.50922,0.86375,1,0.36531,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2970.78,0.49972,0.83455,1,0.4123,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,3099.05,0.47636,0.84915,1,0.37853,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,3227.62,0.46435,0.86131,1,0.3998,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,3354.72,0.44815,0.86375,1,0.33659,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,3481.34,0.43752,0.88808,1,0.31722,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3608.63,0.43473,0.86375,1,0.34833,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3734.6,0.44104,0.86375,1,0.34301,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3861.35,0.45013,0.86131,1,0.33885,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3995.51,0.45162,0.86131,1,0.3827,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4125.08,0.43783,0.84915,1,0.48989,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4256.93,0.44654,0.86861,1,0.38104,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4394.28,0.43228,0.87105,1,0.35853,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4520.49,0.41767,0.87105,1,0.34829,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4653.73,0.40883,0.88078,1,0.34043,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4783.47,0.43113,0.88564,1,0.36732,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4914.83,0.45305,0.86375,1,0.37074,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5044.59,0.42015,0.84915,1,0.38692,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5172.62,0.422,0.87105,1,0.33037,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5305.08,0.39506,0.86375,1,0.3522,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5432.23,0.39292,0.87591,1,0.36721,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,5559.09,0.42186,0.88078,1,0.31083,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5686.28,0.39061,0.86618,1,0.34097,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5813.59,0.41982,0.87348,1,0.36434,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,5940.82,0.42331,0.85645,1,0.39233,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,6066.52,0.38949,0.86131,1,0.35724,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6192.36,0.3651,0.87105,1,0.35134,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,6322.4,0.39543,0.87835,1,0.30896,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,6454.26,0.39144,0.88808,1,0.28929,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6586.75,0.36701,0.88321,1,0.3235,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,6723.17,0.36461,0.89051,1,0.35337,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,6875.07,0.36677,0.88564,1,0.3253,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,7011.27,0.36875,0.87348,1,0.36593,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,7144.62,0.3735,0.88321,1,0.3389,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,7275.63,0.37782,0.88078,1,0.32864,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,7412.71,0.37587,0.87348,1,0.35034,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,7547.7,0.36266,0.88808,1,0.33592,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,7687.14,0.35005,0.89051,1,0.32789,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,7821.49,0.36367,0.89051,1,0.33028,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,7953.37,0.35235,0.88808,1,0.31356,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,8085.43,0.33833,0.89781,1,0.30873,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,8217.33,0.3411,0.89781,1,0.30376,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,8347.79,0.34929,0.90268,1,0.28923,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,8479.74,0.33169,0.90024,1,0.29884,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,8610.44,0.33593,0.90998,1,0.29691,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,8747.6,0.33822,0.91727,1,0.3036,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,8887.2,0.34091,0.90268,1,0.29772,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,9019.22,0.3281,0.90268,1,0.33257,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,9159.73,0.33261,0.89294,1,0.3325,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,9303.48,0.35114,0.90998,1,0.27839,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,9442.13,0.33112,0.89051,1,0.27738,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,9575.15,0.3487,0.89781,1,0.30804,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,9708.04,0.327,0.91241,1,0.31879,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,9839.4,0.31913,0.89294,1,0.30074,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,9969.59,0.31035,0.88808,1,0.31309,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,10113.2,0.31839,0.90998,1,0.29067,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,10271.5,0.31218,0.91727,1,0.28112,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,10407.8,0.31668,0.90268,1,0.25939,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,10545.6,0.32418,0.90998,1,0.26336,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,10677.5,0.30103,0.90268,1,0.2978,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,10809.4,0.33064,0.89781,1,0.27284,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,10941.7,0.30266,0.89538,1,0.31416,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,11077.2,0.3248,0.89538,1,0.30688,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
