epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.81,0.85924,0.75182,1,0.57476,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,281.858,0.60815,0.80049,1,0.53928,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741
3,415.096,0.64738,0.80292,1,0.55846,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482
4,569.957,0.69584,0.79805,1,0.62971,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,751.262,0.71368,0.80535,1,0.50034,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,887.407,0.64064,0.77372,1,0.59553,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1023.3,0.5905,0.84428,1,0.43643,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1151.58,0.55038,0.83942,1,0.43953,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1280.89,0.52857,0.83942,1,0.42475,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1408.76,0.50046,0.86375,1,0.41706,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1536.84,0.49659,0.84428,1,0.42839,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1662.39,0.47449,0.85645,1,0.422,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1787.83,0.46404,0.86618,1,0.37829,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1914.81,0.4413,0.85645,1,0.37284,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,2038.56,0.45769,0.86131,1,0.39342,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2163.12,0.4616,0.86618,1,0.34586,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,2287.1,0.44983,0.88078,1,0.34102,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,2411.46,0.39832,0.88078,1,0.34469,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,2535.54,0.41384,0.87105,1,0.34477,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,2658.94,0.40325,0.88808,1,0.34787,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2781.81,0.4037,0.90268,1,0.30457,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2905.36,0.39453,0.86861,1,0.35657,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
